,Customer_num,Product_num
0,C_100082,P_7819
1,C_1001004,P_14546
2,C_1001197,P_41432
3,C_1001322,P_19789
4,C_1001329,P_7819
5,C_1001363,P_14546
6,C_1001411,P_7819
7,C_1001612,P_697
8,C_100187,P_12777
9,C_1002010,P_458
10,C_1002402,P_30002
11,C_1002505,P_7819
12,C_1002871,P_13544
13,C_1002982,P_12777
14,C_1003594,P_8325
15,C_1003635,P_33846
16,C_1003873,P_2937
17,C_1004298,P_31001
18,C_1004415,P_7819
19,C_1004649,P_39302
20,C_100475,P_7819
21,C_1004950,P_7819
22,C_1005053,P_4892
23,C_1005061,P_7819
24,C_1005185,P_26370
25,C_1005245,P_30644
26,C_1005845,P_18723
27,C_1006220,P_22273
28,C_1006409,P_7819
29,C_1006499,P_18917
30,C_1006679,P_13565
31,C_1006923,P_37280
32,C_1006967,P_24245
33,C_1007306,P_474
34,C_1007410,P_17595
35,C_1007441,P_12777
36,C_1007539,P_14199
37,C_1007551,P_2718
38,C_1007584,P_7819
39,C_1008124,P_7819
40,C_1008244,P_22339
41,C_1008324,P_10144
42,C_1008382,P_19507
43,C_1008535,P_14546
44,C_1008633,P_8625
45,C_1008689,P_7819
46,C_1008758,P_11203
47,C_1009238,P_35921
48,C_1009314,P_8704
49,C_1009475,P_7819
50,C_1009597,P_14546
51,C_1009981,P_7819
52,C_1010149,P_7819
53,C_1010402,P_7819
54,C_1010476,P_7819
55,C_1011034,P_30643
56,C_1011348,P_23572
57,C_1011745,P_21295
58,C_1012143,P_15300
59,C_101240,P_30945
60,C_1012445,P_7819
61,C_1012518,P_471
62,C_1012532,P_14546
63,C_1012915,P_31643
64,C_101343,P_7819
65,C_1013840,P_8973
66,C_1013874,P_9168
67,C_1013919,P_44255
68,C_1014004,P_13565
69,C_1014074,P_14546
70,C_1014213,P_7819
71,C_1014218,P_14546
72,C_1014737,P_12777
73,C_101526,P_26686
74,C_1015372,P_12777
75,C_1015942,P_40491
76,C_1015975,P_37296
77,C_1016469,P_7819
78,C_1016605,P_7819
79,C_1016713,P_7819
80,C_1016727,P_14546
81,C_10169,P_12742
82,C_1016953,P_2211
83,C_101696,P_7819
84,C_1017231,P_12777
85,C_1017706,P_2108
86,C_1017771,P_9432
87,C_1018162,P_31424
88,C_1018383,P_40519
89,C_1018473,P_44256
90,C_1018556,P_7819
91,C_1018584,P_7819
92,C_101880,P_16717
93,C_1018936,P_7819
94,C_1019113,P_6139
95,C_1019366,P_12777
96,C_1019505,P_20467
97,C_10196,P_7819
98,C_1020227,P_14546
99,C_1020395,P_14546
100,C_1020417,P_17406
101,C_1020917,P_30392
102,C_1021672,P_4822
103,C_1021751,P_12777
104,C_1021877,P_12777
105,C_1022050,P_13963
106,C_1022204,P_7819
107,C_1022232,P_31711
108,C_1022459,P_2699
109,C_1022774,P_7819
110,C_1023053,P_35379
111,C_1023065,P_7819
112,C_102354,P_14546
113,C_1024145,P_12777
114,C_1024213,P_7819
115,C_1024240,P_7819
116,C_1024757,P_7819
117,C_1025250,P_14838
118,C_1025532,P_4822
119,C_1025556,P_14546
120,C_1025751,P_29007
121,C_102585,P_12777
122,C_1026324,P_7819
123,C_1026694,P_21295
124,C_1026882,P_14591
125,C_1027099,P_1926
126,C_102740,P_14546
127,C_1027824,P_684
128,C_1027884,P_35303
129,C_1027963,P_7819
130,C_1028330,P_4298
131,C_1028378,P_31707
132,C_1028404,P_18292
133,C_1028718,P_4822
134,C_1029089,P_7819
135,C_1029183,P_7819
136,C_102924,P_44182
137,C_1029259,P_7819
138,C_1029295,P_30643
139,C_1029518,P_7819
140,C_1029774,P_40519
141,C_1030016,P_18079
142,C_1030114,P_7819
143,C_1030140,P_14546
144,C_1030240,P_12277
145,C_1030258,P_31643
146,C_1030656,P_44256
147,C_1030964,P_4822
148,C_1030995,P_957
149,C_1031309,P_12777
150,C_1031423,P_9169
151,C_1031474,P_7819
152,C_1032169,P_1373
153,C_1032532,P_7819
154,C_1033453,P_12777
155,C_1033785,P_25794
156,C_1034007,P_7819
157,C_1034594,P_7819
158,C_1034741,P_7819
159,C_1035041,P_7819
160,C_1035089,P_21010
161,C_1035392,P_31561
162,C_1035603,P_14546
163,C_1035867,P_5022
164,C_1035946,P_18396
165,C_1036193,P_9168
166,C_1036703,P_7819
167,C_1037074,P_44256
168,C_1037222,P_14546
169,C_1037287,P_17038
170,C_1037548,P_14838
171,C_1037599,P_2638
172,C_1037860,P_7819
173,C_1038059,P_14546
174,C_1038863,P_4822
175,C_103887,P_44104
176,C_1039042,P_20318
177,C_1039848,P_36269
178,C_1039864,P_471
179,C_1040137,P_14546
180,C_1040199,P_5407
181,C_104022,P_7819
182,C_1040243,P_7819
183,C_1040351,P_2211
184,C_1040498,P_8625
185,C_1041030,P_7819
186,C_1041278,P_14546
187,C_1041479,P_25159
188,C_1041581,P_12777
189,C_1041586,P_7819
190,C_1042052,P_7819
191,C_1042066,P_7819
192,C_1042158,P_14546
193,C_104218,P_25393
194,C_1042181,P_7819
195,C_1042700,P_13570
196,C_1043247,P_7819
197,C_1043269,P_18531
198,C_1044045,P_38670
199,C_1044402,P_7819
200,C_104442,P_4822
201,C_1044466,P_14546
202,C_1044659,P_44580
203,C_1044706,P_14546
204,C_1045955,P_12777
205,C_1045982,P_40519
206,C_1045989,P_4822
207,C_1046064,P_12777
208,C_1046333,P_14546
209,C_1046682,P_40154
210,C_1047053,P_7819
211,C_1047250,P_7819
212,C_1047365,P_12777
213,C_104744,P_8217
214,C_1047702,P_14546
215,C_104796,P_14546
216,C_1048043,P_37656
217,C_1048507,P_7407
218,C_1048620,P_28606
219,C_1048750,P_14546
220,C_1048762,P_6888
221,C_1048847,P_14546
222,C_1049101,P_12777
223,C_1049134,P_19554
224,C_104955,P_7819
225,C_1049689,P_34896
226,C_1049710,P_14546
227,C_104984,P_15054
228,C_1050245,P_6444
229,C_105049,P_4191
230,C_1050524,P_7819
231,C_1050596,P_2799
232,C_1050655,P_7819
233,C_1050735,P_40591
234,C_1050872,P_14546
235,C_1051106,P_7819
236,C_1051128,P_14897
237,C_1051130,P_4822
238,C_1051577,P_6650
239,C_1052269,P_12777
240,C_1052343,P_14546
241,C_1052642,P_26386
242,C_1052882,P_25875
243,C_1053050,P_7819
244,C_1053223,P_19924
