Customer_num,recommendedProducts
C_100082,P_7819|P_12777|P_14546
C_1001004,P_14546|P_14591|P_9459
C_1001197,P_41432|P_10784|P_31209
C_1001322,P_19789|P_21479|P_7819
C_1001329,P_7819|P_14546|P_12777
C_1001363,P_14546|P_26451|P_31307
C_1001411,P_7819|P_4822|P_14838
C_1001612,P_697|P_698|P_459
C_100187,P_12777|P_14591|P_9510
C_1002010,P_458|P_457|P_698
C_1002402,P_30002|P_32162|P_5906
C_1002505,P_7819|P_14546|P_12777
C_1002871,P_13544|P_31067|P_19647
C_1002982,P_12777|P_7819|P_40653
C_1003594,P_8325|P_2713|P_9168
C_1003635,P_33846|P_34756|P_31660
C_1003873,P_2937|P_15307|P_15473
C_1004298,P_31001|P_11367|P_12105
C_1004415,P_7819|P_14546|P_12777
C_1004649,P_39302|P_41387|P_15023
C_100475,P_7819|P_40519|P_15307
C_1004950,P_7819|P_12777|P_4919
C_1005053,P_4892|P_32172|P_20283
C_1005061,P_7819|P_14546|P_12777
C_1005185,P_26370|P_41927|P_40167
C_1005245,P_30644|P_1926|P_16717
C_1005845,P_18723|P_37644|P_33515
C_1006220,P_22273|P_28581|P_44118
C_1006409,P_7819|P_37269|P_20311
C_1006499,P_18917|P_20759|P_33515
C_1006679,P_13565|P_13570|P_13568
C_1006923,P_37280|P_3631|P_28710
C_1006967,P_24245|P_7819|P_16717
C_1007306,P_474|P_3368|P_41956
C_1007410,P_17595|P_12777|P_17593
C_1007441,P_12777|P_7983|P_30644
C_1007539,P_14199|P_28596|P_23583
C_1007551,P_2718|P_12552|P_4218
C_1007584,P_7819|P_12777|P_14546
C_1008124,P_7819|P_12777|P_14546
C_1008244,P_22339|P_17302|P_236
C_1008324,P_10144|P_11673|P_5890
C_1008382,P_19507|P_35572|P_35571
C_1008535,P_14546|P_12777|P_14591
C_1008633,P_8625|P_40519|P_14546
C_1008689,P_7819|P_12777|P_14591
C_1008758,P_11203|P_26406|P_19610
C_1009238,P_35921|P_17049|P_31498
C_1009314,P_8704|P_37611|P_2341
C_1009475,P_7819|P_12777|P_4822
C_1009597,P_14546|P_19382|P_14838
C_1009981,P_7819|P_14838|P_14591
C_1010149,P_7819|P_12777|P_14546
C_1010402,P_7819|P_14546|P_14591
C_1010476,P_7819|P_14591|P_14546
C_1011034,P_30643|P_29640|P_16717
