,Customer_Name,Similar_Customer_1,Similar_Customer_2,Similar_Customer_3,Similar_Customer_4,Similar_Customer_5
0,C_100082,"('C_2544857', 0.6240649653590278)","('C_2321628', 0.6930503295646999)","('C_1301002', 0.6930503295646999)","('C_595017', 0.6930503295646999)","('C_1815953', 0.6945131639608597)"
1,C_1001004,"('C_926158', 0.3784949325464)","('C_326970', 0.3882585230237884)","('C_2032341', 0.500847806236262)","('C_168528', 0.5150862038658628)","('C_2502943', 0.5214923276013452)"
2,C_1001197,"('C_677369', 0.7958758547680684)","('C_1307027', 0.8563560842227569)","('C_770159', 0.858914099945161)","('C_1324327', 0.8819502315080446)","('C_255946', 1.0)"
3,C_1001322,"('C_1648538', 0.7378341177172575)","('C_1988003', 0.7528276357894915)","('C_525150', 0.7695889782890339)","('C_1632182', 0.7874820825344315)","('C_1679794', 0.7950555023421684)"
4,C_1001329,"('C_290268', 0.3554786040775735)","('C_929548', 0.4039474775998566)","('C_1874295', 0.4721021122562413)","('C_1899381', 0.5503502313113531)","('C_840049', 0.5917652704666834)"
5,C_1001363,"('C_640952', 0.35193144726230086)","('C_412899', 0.39759063172284714)","('C_1962980', 0.4105608317576013)","('C_2433143', 0.4399884164872545)","('C_1368566', 0.46515268215034056)"
6,C_1001411,"('C_884548', 0.6196004599835474)","('C_816888', 0.6342804823883981)","('C_187952', 0.6402457451429673)","('C_512217', 0.6494350051416662)","('C_584300', 0.6523686550002193)"
7,C_1001612,"('C_419465', 0.5575008608124066)","('C_2482283', 0.560530085335849)","('C_1050735', 0.5840106459470247)","('C_2291964', 0.5883267909348018)","('C_307342', 0.6175727853382748)"
8,C_100187,"('C_808306', 0.8468157985268154)","('C_402574', 0.8490247160834421)","('C_568298', 0.8649963522864634)","('C_2245763', 0.8671516713574708)","('C_53195', 0.8673385900657886)"
9,C_1002010,"('C_685576', 0.32784317455636525)","('C_610960', 0.33141061029227614)","('C_1357336', 0.37710833784238984)","('C_2365333', 0.4887685570460073)","('C_1543102', 0.5714634048907979)"
10,C_1002402,"('C_2085954', 0.7997495302712965)","('C_2506578', 0.844918054049138)","('C_35283', 0.8582672532621465)","('C_2351571', 0.8659395683601988)","('C_2429133', 0.8689052949311076)"
11,C_1002505,"('C_2502943', 0.6596860766870161)","('C_168528', 0.6778168932378171)","('C_1754960', 0.7376157148490103)","('C_1999148', 0.7609162324406931)","('C_131838', 0.7829595819873609)"
12,C_1002871,"('C_1476147', 0.6841877489548001)","('C_276433', 0.7020839538951487)","('C_888037', 0.7676627435781862)","('C_2047315', 0.7763932022500211)","('C_2135674', 0.7763932022500211)"
13,C_1002982,"('C_2145751', 0.6782971485021295)","('C_2407011', 0.700535919038174)","('C_205535', 0.7116492859944759)","('C_419080', 0.7122222572594317)","('C_1802947', 0.7147722973549429)"
14,C_1003594,"('C_2076108', 0.6739451119265697)","('C_782532', 0.7580900918673955)","('C_2168910', 0.7581759580122058)","('C_1910823', 0.7581759580122058)","('C_2589818', 0.7694443776042567)"
15,C_1003635,"('C_424873', 0.7418011102528388)","('C_1514259', 0.7418011102528388)","('C_1255199', 0.7452002159640296)","('C_2541862', 0.8)","('C_1586526', 0.8112833805570371)"
16,C_1003873,"('C_367426', 0.5930509761270447)","('C_1007551', 0.6092814447945807)","('C_269342', 0.6154561003907107)","('C_1083595', 0.6419424013814696)","('C_2277186', 0.6478041899601907)"
17,C_1004298,"('C_721578', 0.7)","('C_1262132', 0.7278848600516408)","('C_2297535', 0.7960962877945257)","('C_506602', 0.8097906198136451)","('C_651163', 0.8232233047033631)"
18,C_1004415,"('C_1192829', 0.7546192455789512)","('C_1041030', 0.7883581342189245)","('C_497354', 0.7929858620844339)","('C_853559', 0.802816926220519)","('C_1711778', 0.8105807006010382)"
19,C_1004649,"('C_401375', 0.6666666666666667)","('C_1309442', 0.7642977396044842)","('C_2213924', 0.7642977396044842)","('C_1689465', 0.7642977396044842)","('C_863720', 0.7962978542585404)"
20,C_100475,"('C_751023', 0.5314970134017288)","('C_2142425', 0.5530857657084238)","('C_1061748', 0.554422422596005)","('C_521796', 0.5573062889178384)","('C_492386', 0.5605724200864374)"
21,C_1004950,"('C_1332981', 0.6203435877853911)","('C_1121104', 0.6631359750451544)","('C_876652', 0.6696706170783274)","('C_196692', 0.6710501687551957)","('C_499563', 0.7022606579038694)"
22,C_1005053,"('C_1352311', 0.7914855859429253)","('C_1505482', 0.7914855859429253)","('C_2537949', 0.7914855859429253)","('C_1885894', 0.7914855859429253)","('C_2392179', 0.7914855859429253)"
23,C_1005061,"('C_2317007', 0.7088752231618671)","('C_756032', 0.7673619816259297)","('C_1367531', 0.7985295662019841)","('C_1445823', 0.8240505891143641)","('C_1020395', 0.8261128787429781)"
